Bölüm,Kategori,Seri,Model,Kaynak Dosya,Özellikler
Kompanzasyon,Kompanzasyon Kontaktörleri,ENT-KT,ENT-KT-75-C12,ent_kt_kompanzasyon_kontaktorleri.csv,"Çalışma Gücü 240V 50Hz (kVAr): 45,0 | Çalışma Gücü 400-440V 50Hz (kVAr): 75,0 | Ani Yardımcı Kontak NO: 1 | Ani Yardımcı Kontak NC: 2 | Saatlik Maks. Operasyon Sayısı: 240 | Uygulama Sayısı (Anahtarlama Ömrü): 100.000"
Kompanzasyon,Şönt Reaktörler,ENT.SRS1,"ENT.SRS1 230/0,1",ent_srs_sont_reaktorleri.csv,"Faz: Tek Fazlı | kVAr: 0,1 | L (mH): 1684 | Irms (A): 0,436 | İşletme Gerilimi: 230V 50Hz | SVC Özel: Yok | Boyut No: 1 | Çizim No: 1 | A (mm): 84 | B (mm): 74 | C (mm): 87 | D (mm): 70 | E (mm): 57 | Ağırlık (kg): 1,4"
Kompanzasyon,Şönt Reaktörler,ENT.SRS1,"ENT.SRS1 230/0,25",ent_srs_sont_reaktorleri.csv,"Faz: Tek Fazlı | kVAr: 0,25 | L (mH): 674 | Irms (A): 1,09 | İşletme Gerilimi: 230V 50Hz | SVC Özel: Yok | Boyut No: 2 | Çizim No: 1 | A (mm): 96 | B (mm): 185 | C (mm): 98 | D (mm): 80 | E (mm): 66 | Ağırlık (kg): 2,4"
Kompanzasyon,Şönt Reaktörler,ENT.SRS1,"ENT.SRS1 230/0,5",ent_srs_sont_reaktorleri.csv,"Faz: Tek Fazlı | kVAr: 0,5 | L (mH): 338 | Irms (A): 2,17 | İşletme Gerilimi: 230V 50Hz | SVC Özel: Yok | Boyut No: 3 | Çizim No: 1 | A (mm): 120 | B (mm): 107 | C (mm): 115 | D (mm): 100 | E (mm): 88 | Ağırlık (kg): 3,1"
Kompanzasyon,Şönt Reaktörler,ENT.SRS1,"ENT.SRS1 230/0,3-0,4-0,5",ent_srs_sont_reaktorleri.csv,"Faz: Tek Fazlı | kVAr: 0,3-0,4-0,5 | L (mH): 338-421-560 | Irms (A): 1,30-1,74-2,17 | İşletme Gerilimi: 230V 50Hz | SVC Özel: Yok | Boyut No: 7 | Çizim No: 1 | A (mm): 120 | B (mm): 107 | C (mm): 115 | D (mm): 100 | E (mm): 88 | Ağırlık (kg): 3,7"
Kompanzasyon,Şönt Reaktörler,ENT.SRS1,ENT.SRS1 230/1,ent_srs_sont_reaktorleri.csv,"Faz: Tek Fazlı | kVAr: 1 | L (mH): 168 | Irms (A): 4,34 | İşletme Gerilimi: 230V 50Hz | SVC Özel: Yok | Boyut No: 4 | Çizim No: 1 | A (mm): 150 | B (mm): 122 | C (mm): 145 | D (mm): 125 | E (mm): 98 | Ağırlık (kg): 6,8"
Kompanzasyon,Şönt Reaktörler,ENT.SRS1,"ENT.SRS1 230/1,5",ent_srs_sont_reaktorleri.csv,"Faz: Tek Fazlı | kVAr: 1,5 | L (mH): 112 | Irms (A): 6,53 | İşletme Gerilimi: 230V 50Hz | SVC Özel: Yok | Boyut No: 5 | Çizim No: 1 | A (mm): 150 | B (mm): 122 | C (mm): 145 | D (mm): 125 | E (mm): 98 | Ağırlık (kg): 9,2"
Kompanzasyon,Şönt Reaktörler,ENT.SRS1,"ENT.SRS1.230/1,66",ent_srs_sont_reaktorleri.csv,"Faz: Tek Fazlı | kVAr: 1,66 | L (mH): 101 | Irms (A): 7,22 | İşletme Gerilimi: 230V 50Hz | SVC Özel: Var | Boyut No: 8 | Çizim No: 1 | A (mm): 150 | B (mm): 123 | C (mm): 145 | D (mm): 125 | E (mm): 100 | Ağırlık (kg): 9,2"
Kompanzasyon,Şönt Reaktörler,ENT.SRS1,ENT.SRS1 230/2,ent_srs_sont_reaktorleri.csv,"Faz: Tek Fazlı | kVAr: 2 | L (mH): 84 | Irms (A): 8,7 | İşletme Gerilimi: 230V 50Hz | SVC Özel: Yok | Boyut No: 9 | Çizim No: 1 | A (mm): 192 | B (mm): 163 | C (mm): 187 | D (mm): 140 | E (mm): 133 | Ağırlık (kg): 12,5"
Kompanzasyon,Şönt Reaktörler,ENT.SRS1,"ENT.SRS1 230/2,5",ent_srs_sont_reaktorleri.csv,"Faz: Tek Fazlı | kVAr: 2,5 | L (mH): 67 | Irms (A): 10,9 | İşletme Gerilimi: 230V 50Hz | SVC Özel: Yok | Boyut No: 6 | Çizim No: 1 | A (mm): 192 | B (mm): 125 | C (mm): 185 | D (mm): 160 | E (mm): 95 | Ağırlık (kg): 15,8"
